Unnamed: 0,POLYGON_NM,City,Area_sqmiles,Pop2010_wiki,city
0,ALAMEDA,ALAMEDA,12,73812,alameda
1,ALBANY,ALBANY,5.4,18539,albany
2,AMERICAN CANYON,AMERICAN_CANYON,4,19454,american_canyon
3,ANTIOCH,ANTIOCH,29,102372,antioch
4,ATHERTON,ATHERTON,5,6914,atherton
5,BELMONT,BELMONT,5,25835,belmont
6,BELVEDERE,BELVEDERE,2.4,2134,belvedere
7,BENICIA,BENICIA,14,26997,benicia
8,BERKELEY,BERKELEY,11,112580,berkeley
9,BRENTWOOD,BRENTWOOD,15,51481,brentwood
10,BRISBANE,BRISBANE,3,4282,brisbane
11,BURLINGAME,BURLINGAME,6,28806,burlingame
12,CALISTOGA,CALISTOGA,2,5155,calistoga
13,CAMPBELL,CAMPBELL,6,39349,campbell
14,CLAYTON,CLAYTON,4,10897,clayton
15,CLOVERDALE,CLOVERDALE,3,8618,cloverdale
16,COLMA,COLMA,2,1792,colma
17,CONCORD,CONCORD,31,122067,concord
18,CORTE MADERA,CORTE_MADERA,3,9253,corte_madera
19,COTATI,COTATI,2,7265,cotati
20,CUPERTINO,CUPERTINO,11,58302,cupertino
21,DALY CITY,DALY_CITY,8,101123,daly_city
22,DANVILLE,DANVILLE,18,42039,danville
23,DIXON,DIXON,6,18351,dixon
24,DUBLIN,DUBLIN,16,46036,dublin
25,EAST PALO ALTO,EAST_PALO_ALTO,2.52,28155,east_palo_alto
27,EL CERRITO,EL_CERRITO,4,23549,el_cerrito
28,EMERYVILLE,EMERYVILLE,2.25,10080,emeryville
29,FAIRFAX,FAIRFAX,2,7441,fairfax
30,FAIRFIELD,FAIRFIELD,38,105321,fairfield
31,FOSTER CITY,FOSTER_CITY,4,30567,foster_city
32,FREMONT,FREMONT,79,214089,fremont
33,GILROY,GILROY,16,48821,gilroy
34,HALF MOON BAY,HALF_MOON_BAY,6.52,11324,half_moon_bay
35,HAYWARD,HAYWARD,45,144186,hayward
36,HEALDSBURG,HEALDSBURG,4,11254,healdsburg
37,HERCULES,HERCULES,6,24060,hercules
38,HILLSBOROUGH,HILLSBOROUGH,6,10825,hillsborough
39,LAFAYETTE,LAFAYETTE,15,23893,lafayette
40,LARKSPUR,LARKSPUR,3,11926,larkspur
41,LIVERMORE,LIVERMORE,27,80968,livermore
42,LOS ALTOS,LOS_ALTOS,6,28976,los_altos
44,LOS ALTOS HILLS,LOS_ALTOS_HILLS,9,8295,los_altos_hills
45,LOS GATOS,LOS_GATOS,11,29413,los_gatos
46,MARTINEZ,MARTINEZ,13,35824,martinez
47,MENLO PARK,MENLO_PARK,10,32026,menlo_park
48,MILL VALLEY,MILL_VALLEY,5,13903,mill_valley
49,MILLBRAE,MILLBRAE,3,21532,millbrae
50,MILPITAS,MILPITAS,14,66790,milpitas
51,MONTE SERENO,MONTE_SERENO,2,3341,monte_sereno
52,MORAGA,MORAGA,9,16016,moraga
53,MORGAN HILL,MORGAN_HILL,12,37882,morgan_hill
54,MOUNTAIN VIEW,MOUNTAIN_VIEW,12,74066,mountain_view
55,NAPA,NAPA,19,76915,napa
56,NEWARK,NEWARK,14,42573,newark
57,NOVATO,NOVATO,28,51904,novato
58,OAKLAND,OAKLAND,58,390724,oakland
59,OAKLEY,OAKLEY,16,35432,oakley
60,ORINDA,ORINDA,13,17643,orinda
61,PACIFICA,PACIFICA,13,37234,pacifica
62,PALO ALTO,PALO_ALTO,24,64403,palo_alto
63,PETALUMA,PETALUMA,15,57941,petaluma
64,PIEDMONT,PIEDMONT,2,10667,piedmont
65,PINOLE,PINOLE,5,18390,pinole
66,PITTSBURG,PITTSBURG,19,63264,pittsburg
67,PLEASANT HILL,PLEASANT_HILL,7,33152,pleasant_hill
68,PLEASANTON,PLEASANTON,24,70285,pleasanton
69,PORTOLA VALLEY,PORTOLA_VALLEY,9,4353,portola_valley
70,REDWOOD CITY,REDWOOD_CITY,22,76815,redwood_city
71,RICHMOND,RICHMOND,31,103701,richmond
72,RIO VISTA,RIO_VISTA,4,7360,rio_vista
73,ROHNERT PARK,ROHNERT_PARK,7,40971,rohnert_park
74,ROSS,ROSS,2,2415,ross
75,SAN ANSELMO,SAN_ANSELMO,3,12336,san_anselmo
76,SAN BRUNO,SAN_BRUNO,6,41114,san_bruno
77,SAN CARLOS,SAN_CARLOS,5,28406,san_carlos
78,SAN FRANCISCO,SAN_FRANCISCO,47,805235,san_francisco
79,SAN JOSE,SAN_JOSE,187,945942,san_jose
80,SAN LEANDRO,SAN_LEANDRO,13,84950,san_leandro
81,SAN MATEO,SAN_MATEO,13,97207,san_mateo
82,SAN PABLO,SAN_PABLO,3,29139,san_pablo
83,SAN RAFAEL,SAN_RAFAEL,17,57713,san_rafael
84,SAN RAMON,SAN_RAMON,18,72148,san_ramon
85,SANTA CLARA,SANTA_CLARA,18,116468,santa_clara
86,SANTA ROSA,SANTA_ROSA,42,177586,santa_rosa
87,SARATOGA,SARATOGA,12,29926,saratoga
88,SAUSALITO,SAUSALITO,2,7061,sausalito
89,SEBASTOPOL,SEBASTOPOL,2,7379,sebastopol
90,SONOMA,SONOMA,3,10648,sonoma
91,SOUTH SAN FRANCISCO,SOUTH_SAN_FRANCISCO,30,63632,south_san_francisco
92,ST HELENA,ST_HELENA,5,5814,st_helena
93,SUISUN CITY,SUISUN_CITY,4,28111,suisun_city
94,SUNNYVALE,SUNNYVALE,22,140081,sunnyvale
95,TIBURON,TIBURON,3,8962,tiburon
96,UNION CITY,UNION_CITY,20,69516,union_city
97,VACAVILLE,VACAVILLE,26,92428,vacaville
98,VALLEJO,VALLEJO,28,115942,vallejo
99,WALNUT CREEK,WALNUT_CREEK,20,64173,walnut_creek
100,WINDSOR,WINDSOR,7,26801,windsor
101,WOODSIDE,WOODSIDE,12,5287,woodside
102,YOUNTVILLE,YOUNTVILLE,2,2933,yountville